author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex;author_type;price_per_m2
Capital Mars;https://www.cian.ru/sale/flat/281955409/;Москва;sale;flat;7;7;5;245.6;649807150;Хамовники;Большой Левшинский переулок;Смоленская;Дворянское гнездо;real_estate_agent;2645794.0
VESPER;https://www.cian.ru/sale/flat/266405826/;Москва;sale;flat;21;21;5;433.89;650835000;Пресненский;2-я Звенигородская;Улица 1905 года;Lucky;developer;1500000.0
Инна Баденко;https://www.cian.ru/sale/flat/281184817/;Москва;sale;flat;10;12;5;233.5;733899840;Хамовники;Трубецкая;Фрунзенская;;realtor;3143040.0
;https://www.cian.ru/sale/flat/284194835/;Москва;sale;flat;13;13;5;415.8;764132441;Арбат;Новый Арбат;Смоленская;Звёзды Арбата;;1837740.0
Homeapp;https://www.cian.ru/sale/flat/283598035/;Москва;sale;flat;12;12;5;620.0;800000000;Тверской;2-я Брестская;Маяковская;Резиденция Тверская;real_estate_agent;1290322.0
ENGEO Development;https://www.cian.ru/sale/flat/272695149/;Москва;sale;flat;4;6;5;340.79;966125475;Тверской;Большая Дмитровка;Театральная;Большая Дмитровка IX;developer;2834958.0
Владис;https://www.cian.ru/sale/flat/278662259/;Москва;sale;flat;2;4;5;165.0;8600000;;;Подольск;;real_estate_agent;52121.0
UINVEST;https://www.cian.ru/sale/flat/281578299/;Москва;sale;flat;1;3;5;134.9;14500000;;;;;real_estate_agent;107487.0
ЦеНтр ПИК;https://www.cian.ru/sale/flat/276268323/;Москва;sale;flat;1;10;5;88.6;15000000;Чертаново Северное;Чертановская;Южная;;real_estate_agent;169300.0
Мои Столицы - Центр;https://www.cian.ru/sale/flat/270692239/;Москва;sale;flat;1;9;5;84.8;15679999;Солнцево;50 лет Октября;Говорово;;real_estate_agent;184905.0
Этажи Москва;https://www.cian.ru/sale/flat/274852611/;Москва;sale;flat;1;3;5;134.0;16000000;;;Теплый Стан;;real_estate_agent;119402.0
Наталья Зинченко;https://www.cian.ru/sale/flat/272933221/;Москва;sale;flat;1;12;5;102.0;18050000;Нагатинский затон;Затонная;Коломенская;;realtor;176960.0
МР - офис Отрадное;https://www.cian.ru/sale/flat/281150703/;Москва;sale;flat;1;14;5;113.5;18100000;Крюково;Зеленоград;Ховрино;;real_estate_agent;159471.0
Инвест МСК;https://www.cian.ru/sale/flat/268481174/;Москва;sale;flat;4;5;5;188.1;18500000;;;;;real_estate_agent;98351.0
MSK Estate;https://www.cian.ru/sale/flat/284299987/;Москва;sale;flat;1;12;5;101.4;18890000;Бибирево;Корнейчука;Алтуфьево;;real_estate_agent;186291.0
МИР;https://www.cian.ru/sale/flat/281538090/;Москва;sale;flat;1;12;5;101.8;19100000;Восточное Дегунино;Дубнинская;Лианозово;;real_estate_agent;187622.0
Этажи Москва;https://www.cian.ru/sale/flat/284939308/;Москва;sale;flat;16;17;5;115.0;19900000;Некрасовка;Маресьева;Некрасовка;;real_estate_agent;173043.0
Триумфальная Арка;https://www.cian.ru/sale/flat/281046496/;Москва;sale;flat;1;9;5;83.6;21000000;Северное Медведково;проезд Шокальского;Медведково;;real_estate_agent;251196.0
ИНКОМ-Недвижимость;https://www.cian.ru/sale/flat/278103329/;Москва;sale;flat;1;5;5;90.0;21000000;Пресненский;Анны Северьяновой;Улица 1905 года;;real_estate_agent;233333.0
Анатолий Анищенко;https://www.cian.ru/sale/flat/272870561/;Москва;sale;flat;12;13;5;130.0;21300000;;;Румянцево;;realtor;163846.0
Светлана Иванова;https://www.cian.ru/sale/flat/275299103/;Москва;sale;flat;1;12;5;99.4;21500000;Марьино;Перерва;Перерва;;realtor;216297.0
Азиза Шажен-Батуева;https://www.cian.ru/sale/flat/275930191/;Москва;sale;flat;1;12;5;102.0;22000000;Отрадное;Бестужевых;Отрадное;;realtor;215686.0
Светлана Сорокина;https://www.cian.ru/sale/flat/281832513/;Москва;sale;flat;1;12;5;110.2;22500000;Кунцево;Ивана Франко;Рабочий поселок;;realtor;204174.0
ИНКОМ-Недвижимость;https://www.cian.ru/sale/flat/283760068/;Москва;sale;flat;2;7;5;120.0;23000000;Можайский;Можайское шоссе;Кунцевская;;real_estate_agent;191666.0
Ольга Оводова;https://www.cian.ru/sale/flat/277382334/;Москва;sale;flat;10;16;5;111.5;23000000;Западное Дегунино;Маршала Федоренко;Ховрино;;realtor;206278.0
РИЭЛТ ХАУС;https://www.cian.ru/sale/flat/278659455/;Москва;sale;flat;6;8;5;103.4;23000000;Южнопортовый;Трофимова;Кожуховская;;real_estate_agent;222437.0
