author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;district;street;underground;residential_complex
ЕГСН Продажа;real_estate_agent;https://www.cian.ru/sale/flat/273734532/;Москва;sale;flat;10;14;2;64.0;367187;23500000;Крылатское;Осенняя;Крылатское;
Адреса;real_estate_agent;https://www.cian.ru/sale/flat/285020489/;Москва;sale;flat;2;24;2;78.0;301282;23500000;Митино;Генерала Белобородова;Митино;
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/282606043/;Москва;sale;flat;3;24;2;59.4;395622;23500000;Тропарево-Никулино;Никулинская;;Квартал на Никулинской
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/284179071/;Москва;sale;flat;37;38;2;65.0;376923;24500000;Ростокино;проспект Мира;Ростокино;Триколор
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/284363204/;Москва;sale;flat;10;26;2;71.0;345070;24500000;Головинский;Кронштадтский бульвар;Водный стадион;Водный
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/284902008/;Москва;sale;flat;2;6;2;41.0;607317;24900000;Тверской;Тверская;Охотный ряд;
Сергей Абрамов;realtor;https://www.cian.ru/sale/flat/284501310/;Москва;sale;flat;10;11;2;55.4;451263;25000000;Дорогомилово;Кутузовский проспект;Киевская;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/284741629/;Москва;sale;flat;7;18;2;63.0;395238;24900000;Нагатинский затон;Корабельная;Кожуховская;Ривер Парк Коломенское
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/282794157/;Москва;sale;flat;7;18;2;75.0;333333;25000000;Ломоносовский;Академика Пилюгина;Новаторская;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/279737979/;Москва;sale;flat;4;22;2;75.8;333773;25300000;Лефортово;Золоторожский Вал;Авиамоторная;Символ
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/284494229/;Москва;sale;flat;11;41;2;67.5;379259;25600000;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;Сердце Столицы
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/279147878/;Москва;sale;flat;2;28;2;72.0;354166;25500000;Марфино;Академика Королева;Бутырская;Дом Достижение
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/282780852/;Москва;sale;flat;2;12;2;53.7;474860;25500000;Замоскворечье;Летниковская;Павелецкая;Voxhall
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/283508919/;Москва;sale;flat;11;11;2;57.1;446409;25490000;Дорогомилово;1812 года;Парк Победы;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/279516901/;Москва;sale;flat;13;23;2;71.6;359636;25750000;Южное Бутово;Старокрымская;Улица Скобелевская;Эталон-Сити
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/278318931/;Москва;sale;flat;2;10;2;66.3;392156;26000000;Покровское-Стрешнево;Летная;Спартак;ÁLIA
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/283553000/;Москва;sale;flat;25;25;2;70.1;370898;26000000;Кунцево;Ярцевская;Молодежная;Ярцевская 24
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/281971974/;Москва;sale;flat;2;7;2;62.0;430161;26670000;Сокол;Чапаевский переулок;Аэропорт;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/270344431/;Москва;sale;flat;13;14;2;56.3;479396;26990000;Марьина роща;1-я Ямская;Марьина роща;Премиум-квартал JAZZ
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/284578515/;Москва;sale;flat;9;9;2;60.0;448333;26900000;Гагаринский;Ленинский проспект;Университет;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/284698733/;Москва;sale;flat;9;24;2;67.7;401772;27200000;Даниловский;Автозаводская;ЗИЛ;Парк Легенд
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/285040014/;Москва;sale;flat;2;26;2;68.8;399694;27499000;Можайский;Можайское шоссе;Кунцевская;
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/283094323/;Москва;sale;flat;3;7;2;53.2;526315;28000000;Пресненский;Большая Садовая;Маяковская;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/279576031/;Москва;sale;flat;8;8;2;56.0;516071;28900000;Хамовники;Хамовнический Вал;Спортивная;
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/279022449/;Москва;sale;flat;14;47;2;66.4;436746;29000000;Даниловский;Дубининская;Павелецкая;Павелецкая сити
АЭРОБУС;real_estate_agent;https://www.cian.ru/sale/flat/281152326/;Москва;sale;flat;15;34;2;94.0;323404;30400000;Аэропорт;Кочновский проезд;Гражданская;Аэробус
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/253693210/;Москва;sale;flat;10;19;2;67.0;470149;31500000;Красносельский;переулок Докучаев;Красные ворота;Волга
Владис;real_estate_agent;https://www.cian.ru/sale/flat/264534298/;Москва;sale;flat;10;19;2;67.5;466666;31500000;Красносельский;переулок Докучаев;Сухаревская;Волга
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/283586311/;Москва;sale;flat;8;28;2;65.3;480091;31350000;Филевский парк;Василисы Кожиной;Парк Победы;Квартал апартаментов Match Point
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/278833382/;Москва;sale;flat;4;9;2;58.3;540308;31500000;Филевский парк;Береговой проезд;Фили;Береговой
Метриум-Премиум Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/284596746/;Москва;sale;flat;2;8;2;65.0;492307;32000000;Хамовники;3-я Фрунзенская;Фрунзенская;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/281721406/;Москва;sale;flat;9;41;2;77.0;422077;32500000;Кунцево;Рублевское шоссе;Молодежная;Рублевские Огни
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/278579989/;Москва;sale;flat;6;22;2;77.0;428571;32999999;Можайский;Гжатская;Давыдково;LIFE-Кутузовский
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/283279934/;Москва;sale;flat;4;41;2;65.8;516717;34000000;Хорошевский;Ленинградский проспект;Аэропорт;Прайм Парк
ЦЗН ПРОСПЕКТ МИРА;real_estate_agent;https://www.cian.ru/sale/flat/283798836/;Москва;sale;flat;5;17;2;88.5;398870;35300000;Свиблово;проезд Серебрякова;Ботанический сад;Silver
Тарас Иванов;realtor;https://www.cian.ru/sale/flat/284196198/;Москва;sale;flat;7;15;2;68.0;514705;35000000;Хорошевский;Ходынский бульвар;ЦСКА;Лайнер
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/284198399/;Москва;sale;flat;16;18;2;68.5;518248;35500000;Свиблово;Сельскохозяйственная;Ботанический сад;LIFE-Ботанический сад
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/284411578/;Москва;sale;flat;5;12;2;65.0;552307;35900000;Аэропорт;Ленинградский проспект;Динамо;ВТБ Арена парк
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/280002501/;Москва;sale;flat;19;26;2;40.0;900000;36000000;Арбат;Новый Арбат;Арбатская;The Book
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/281239549/;Москва;sale;flat;23;36;2;71.1;506329;36000000;Беговой;Ленинградский проспект;Динамо;Комплекс апартаментов Alcon Tower
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/285316167/;Москва;sale;flat;19;23;2;69.3;533910;37000000;Хорошево-Мневники;Шелепихинская набережная;Полежаевская;Сердце Столицы
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/284239866/;Москва;sale;flat;14;37;2;66.7;553223;36900000;Хорошевский;Ленинградский проспект;Аэропорт;Прайм Парк
CENTURY 21 Перспектива;real_estate_agent;https://www.cian.ru/sale/flat/280411623/;Москва;sale;flat;11;25;2;76.0;486828;36999000;Пресненский;Зоологическая;Баррикадная;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/284733461/;Москва;sale;flat;8;18;2;75.5;498013;37600000;Алексеевский;Новоалексеевская;Алексеевская;Серебряный фонтан
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/284757401/;Москва;sale;flat;3;8;2;53.0;716981;38000000;Хамовники;переулок Сивцев Вражек;Кропоткинская;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/283480481/;Москва;sale;flat;16;19;2;76.0;500000;38000000;Хорошево-Мневники;Шелепихинская набережная;Хорошёво;Сердце Столицы
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/279147727/;Москва;sale;flat;6;41;2;72.0;569305;40990000;Хорошевский;Ленинградский проспект;Аэропорт;Прайм Парк
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/279131256/;Москва;sale;flat;9;79;2;62.0;669354;41500000;Пресненский;1-й Красногвардейский проезд;Деловой центр;NEVA TOWERS
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/283977650/;Москва;sale;flat;49;53;2;76.5;549019;42000000;Раменки;Мичуринский проспект;Раменки;
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/282776461/;Москва;sale;flat;11;22;2;90.2;465631;42000000;Щукино;Расплетина;Октябрьское поле;Северная Звезда
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/283166673/;Москва;sale;flat;7;20;2;65.5;641221;42000000;Пресненский;Дружинниковская;Краснопресненская;SkyView
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/284732445/;Москва;sale;flat;13;31;2;82.0;524390;43000000;Очаково-Матвеевское;Нежинская;Славянский бульвар;Кутузовская Ривьера
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/283039029/;Москва;sale;flat;4;8;2;72.0;597222;43000000;Даниловский;Хавская;Шаболовская;Композиция №24
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/276972837/;Москва;sale;flat;19;32;2;118.0;364406;43000000;Тропарево-Никулино;проспект Вернадского;Юго-Западная;Академ-Палас
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/283403314/;Москва;sale;flat;20;44;2;66.5;646616;43000000;Пресненский;Ходынская;Улица 1905 года;Пресня Сити
