author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;district;street;underground;residential_complex
Монолит Столица;real_estate_agent;https://www.cian.ru/sale/flat/281608612/;Москва;sale;flat;6;17;1;42.0;242857;10200000;;;Филатов Луг;
Свой родной дом;real_estate_agent;https://www.cian.ru/sale/flat/284754708/;Москва;sale;flat;9;17;1;38.0;276315;10500000;Братеево;Борисовские Пруды;Борисово;
Основа;developer;https://www.cian.ru/sale/flat/285081060/;Москва;sale;flat;4;29;1;30.1;353000;10625300;Черемушки;Наметкина;Новые Черёмушки;Nametkin Tower
Свой родной дом;real_estate_agent;https://www.cian.ru/sale/flat/280454694/;Москва;sale;flat;5;15;1;34.7;308357;10700000;Коньково;Профсоюзная;Калужская;Дом на Профсоюзной 69
Свой родной дом;real_estate_agent;https://www.cian.ru/sale/flat/284060734/;Москва;sale;flat;4;6;1;34.6;329479;11400000;Алексеевский;Маломосковская;Алексеевская;
ЮРКРЕДО;real_estate_agent;https://www.cian.ru/sale/flat/285292863/;Москва;sale;flat;30;32;1;45.0;262222;11800000;Северное Измайлово;Константина Федина;Щелковская;
Chase R.E.S.;real_estate_agent;https://www.cian.ru/sale/flat/275597314/;Москва;sale;flat;11;37;1;28.0;435714;12200000;Раменки;Лобачевского;Аминьевская;Огни
Зиля Карамова;realtor;https://www.cian.ru/sale/flat/280644611/;Москва;sale;flat;5;12;1;35.0;360000;12600000;Басманный;Бакунинская;Бауманская;
EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/282944859/;Москва;sale;flat;5;26;1;43.3;294341;12745000;Головинский;Кронштадтский бульвар;Водный стадион;Водный
STARГОРОД;real_estate_agent;https://www.cian.ru/sale/flat/276491822/;Москва;sale;flat;8;28;1;45.7;291028;13300000;Щукино;Волоколамское шоссе;Стрешнево;Волоколамское 24
Chase R.E.S.;real_estate_agent;https://www.cian.ru/sale/flat/281919291/;Москва;sale;flat;7;16;1;30.0;449666;13490000;Лефортово;проезд Невельского;Авиамоторная;Символ
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/285169756/;Москва;sale;flat;30;33;1;33.5;414925;13900000;Очаково-Матвеевское;Большая Очаковская;Аминьевская;Большая Очаковская 2
Chase R.E.S.;real_estate_agent;https://www.cian.ru/sale/flat/279260891/;Москва;sale;flat;32;37;1;37.0;391891;14500000;Раменки;Лобачевского;Аминьевская;Огни
Свой родной дом;real_estate_agent;https://www.cian.ru/sale/flat/285159327/;Москва;sale;flat;12;17;1;37.8;396825;15000000;Таганский;Новорогожская;Римская;
ID 47303666;unknown;https://www.cian.ru/sale/flat/281701899/;Москва;sale;flat;4;16;1;34.5;434782;15000000;Даниловский;Серпуховский Вал;Тульская;
PORTAL ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/283531759/;Москва;sale;flat;9;12;1;44.1;351473;15500000;Хорошево-Мневники;Мневники;Карамышевская;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/284335969/;Москва;sale;flat;40;48;1;43.2;381944;16500000;Хорошево-Мневники;Народного Ополчения;Народное Ополчение;Wellton Towers
ID 28330823;realtor;https://www.cian.ru/sale/flat/268529527/;Москва;sale;flat;24;25;1;53.4;314419;16790000;Головинский;Кронштадтский бульвар;Водный стадион;Кронштадтский
BRIGHT ESTATE - городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/284187408/;Москва;sale;flat;10;15;1;60.6;404290;24500000;Останкинский;проспект Мира;;Hill8
BRIGHT ESTATE - городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/284187406/;Москва;sale;flat;9;15;1;58.6;418088;24500000;Останкинский;проспект Мира;;Hill8
Свой родной дом;real_estate_agent;https://www.cian.ru/sale/flat/284615301/;Москва;sale;flat;5;35;1;41.0;731463;29990000;Пресненский;Шмитовский проезд;Шелепиха;
SHESHIN HOUSE;real_estate_agent;https://www.cian.ru/sale/flat/277480397/;Москва;sale;flat;3;4;1;46.0;650000;29900000;Красносельский;Сретенка;Сретенский бульвар;
МСК Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/284508239/;Москва;sale;flat;1;2;1;13.2;302633;3994767;Соколиная гора;Вольная;Семёновская;
NEW ARK;real_estate_agent;https://www.cian.ru/sale/flat/282035788/;Москва;sale;flat;3;5;1;21.4;186915;4000000;Перово;2-я Энтузиастов;Андроновка;
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/283899025/;Москва;sale;flat;6;6;1;18.6;258064;4800000;Марфино;Гостиничный проезд;Окружная;
ИМПЕРИАЛ;official_representative;https://www.cian.ru/sale/flat/282961339/;Москва;sale;flat;8;10;1;15.4;349480;5382000;Выхино-Жулебино;Рязанский проспект;Юго-Восточная;
ИМПЕРИАЛ;official_representative;https://www.cian.ru/sale/flat/278743549/;Москва;sale;flat;2;4;1;19.0;283684;5390000;Мещанский;Средняя Переяславская;Рижская;
ID 26690318;realtor;https://www.cian.ru/sale/flat/282853301/;Москва;sale;flat;2;12;1;19.0;283684;5390000;Мещанский;Малая Переяславская;Рижская;
МСК Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/285290817/;Москва;sale;flat;2;5;1;15.2;361000;5487200;Хорошевский;Хорошевское шоссе;Беговая;
ИМПЕРИАЛ;official_representative;https://www.cian.ru/sale/flat/282961369/;Москва;sale;flat;8;10;1;18.8;299250;5625900;Выхино-Жулебино;Рязанский проспект;Юго-Восточная;
Денис Каргин;realtor;https://www.cian.ru/sale/flat/280312263/;Москва;sale;flat;4;5;1;19.4;309278;5999999;Академический;Кржижановского;Профсоюзная;
ИМПЕРИАЛ;official_representative;https://www.cian.ru/sale/flat/281184196/;Москва;sale;flat;4;5;1;17.1;350877;6000000;Черемушки;Херсонская;Зюзино;
ИМПЕРИАЛ;official_representative;https://www.cian.ru/sale/flat/276047673/;Москва;sale;flat;2;4;1;8.3;734939;6100000;Даниловский;2-я Рощинская;Тульская;
МСК Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/284646517/;Москва;sale;flat;5;5;1;16.9;361475;6108928;Хорошевский;Хорошевское шоссе;Беговая;
ИМПЕРИАЛ;official_representative;https://www.cian.ru/sale/flat/282961397/;Москва;sale;flat;8;10;1;21.7;288300;6256110;Выхино-Жулебино;Рязанский проспект;Юго-Восточная;
ID 211907;unknown;https://www.cian.ru/sale/flat/281184187/;Москва;sale;flat;12;12;1;39.0;179487;7000000;Старое Крюково;Зеленоград;;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/279968810/;Москва;sale;flat;2;9;1;32.2;222049;7150000;;;Филатов Луг;
Алла Любинцова;realtor;https://www.cian.ru/sale/flat/283041315/;Москва;sale;flat;11;14;1;38.2;191099;7300000;Некрасовка;1-я Вольская;Некрасовка;
MiniStudioRealty;real_estate_agent;https://www.cian.ru/sale/flat/283634977/;Москва;sale;flat;2;5;1;25.6;287500;7360000;Басманный;Центросоюзный переулок;Бауманская;
