author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
ANT Development;https://www.cian.ru/sale/flat/274568628/;Москва;sale;flat;-1;-1;-1;202.0;255292056;Дорогомилово;;Парк Победы;Виктори Парк Резиденсез ЖК
GRAND ESTATE - Премиальная недвижимость;https://www.cian.ru/sale/flat/281188758/;Москва;sale;flat;3;6;4;142.6;54500000;Пресненский;Никитский бульвар;Арбатская;
Absolute Premium;https://www.cian.ru/sale/flat/285441867/;Москва;sale;flat;11;17;4;155.9;113007000;Хамовники;Лужнецкая набережная;Воробьёвы горы;Luzhniki Collection
ДОНСТРОЙ;https://www.cian.ru/sale/flat/285256608/;Москва;sale;flat;39;49;4;129.6;56768818;Раменки;Кинематографический кв-л;Мичуринский проспект;Событие-4 ЖК
Monumental Group;https://www.cian.ru/sale/flat/281375240/;Москва;sale;flat;3;6;4;142.6;54500000;Пресненский;Никитский бульвар;Арбатская;
Vesco Realty;https://www.cian.ru/sale/flat/283651965/;Москва;sale;flat;3;7;4;174.0;311000000;Хамовники;Ефремова;Спортивная;Knightsbridge Private Park
Sminex-Интеко;https://www.cian.ru/sale/flat/281686983/;Москва;sale;flat;1;6;4;92.5;147340000;Басманный;Потаповский переулок;Чистые пруды;Чистые Пруды
Sminex-Интеко;https://www.cian.ru/sale/flat/284244432/;Москва;sale;flat;1;3;4;515.1;1158630000;Якиманка;Большой Толмачевский переулок;Полянка;Дом Лаврушинский
Пионер;https://www.cian.ru/sale/flat/283969696/;Москва;sale;flat;5;22;4;97.5;37774620;Марьина роща;Полковая;Савёловская;PRIDE
Monumental Group;https://www.cian.ru/sale/flat/283773215/;Москва;sale;flat;2;5;4;164.4;85000000;Пресненский;Тверской бульвар;Тверская;
GRAND ESTATE - Премиальная недвижимость;https://www.cian.ru/sale/flat/283759976/;Москва;sale;flat;2;5;4;164.4;85000000;Пресненский;Тверской бульвар;Пушкинская;
SHOW ME;https://www.cian.ru/sale/flat/285363920/;Москва;sale;flat;9;14;2;105.0;103000000;Дорогомилово;Большая Дорогомиловская;Киевская;
Sminex-Интеко;https://www.cian.ru/sale/flat/281686968/;Москва;sale;flat;4;6;2;88.1;186870000;Басманный;Потаповский переулок;Чистые пруды;Чистые Пруды
Группа Эталон;https://www.cian.ru/sale/flat/284037205/;Москва;sale;flat;6;17;2;62.0;22456486;Даниловский;;ЗИЛ;Шагал ЖК
КВАРТА-18;https://www.cian.ru/sale/flat/279326046/;Москва;sale;flat;5;6;2;53.2;37718800;Тверской;Тверская;Чеховская;
Аеон-Девелопмент;https://www.cian.ru/sale/flat/284556591/;Москва;sale;flat;35;45;2;67.7;46506399;Дорогомилово;Кутузовский проезд;Фили;River Park Towers Кутузовский
METRAGE;https://www.cian.ru/sale/flat/285490664/;Москва;sale;flat;8;12;2;50.0;12800000;Соколиная гора;9-я Соколиной Горы;Соколиная гора;
MR Group;https://www.cian.ru/sale/flat/285682429/;Москва;sale;flat;3;17;2;65.8;34097560;Беговой;Северный ао;Белорусская;Слава ЖК
Пионер;https://www.cian.ru/sale/flat/283969822/;Москва;sale;flat;5;9;2;45.3;25501499;Марьина роща;Полковая;Савёловская;PRIDE
Absolute Premium;https://www.cian.ru/sale/flat/285441840/;Москва;sale;flat;4;17;2;49.8;38633000;Хамовники;Лужнецкая набережная;Воробьёвы горы;Luzhniki Collection
Regions Development;https://www.cian.ru/sale/flat/281159517/;Москва;sale;flat;12;17;2;66.52;29367024;Преображенское;;Преображенская площадь;Преображенская Площадь ЖК
ID 100417108;https://www.cian.ru/sale/flat/284362983/;Москва;sale;flat;3;3;2;57.0;12000000;;;Филатов Луг;
GRAVION;https://www.cian.ru/sale/flat/284824268/;Москва;sale;flat;6;9;2;99.77;117315218;Якиманка;Ленинский проспект;Октябрьская;CULT (Апартаменты премиум-класса)
ASTERUS;https://www.cian.ru/sale/flat/283053982/;Москва;sale;flat;13;18;2;67.9;24084130;Покровское-Стрешнево;;Спартак;Алиа ЖК
Стадион Спартак;https://www.cian.ru/sale/flat/275395952/;Москва;sale;flat;5;10;2;60.0;24732000;Покровское-Стрешнево;Северо-Западный ао;Спартак;Клубный Город на Реке Примавера ЖК
Capital Group;https://www.cian.ru/sale/flat/283844151/;Москва;sale;flat;59;85;2;80.6;57835354;Пресненский;1-й Красногвардейский проезд;Выставочная;МФК ОКО
ID 100053627;https://www.cian.ru/sale/flat/283909496/;Москва;sale;flat;2;9;2;58.0;33000000;Хамовники;Фрунзенская набережная;Фрунзенская;
