author,floor,floors_count,rooms_count,total_meters,price,district,street,underground,residential_complex,line,area,eco_rating,insufficient_infrastructure,convenient_for_life,very_convenient_for_life,few_entertainment,cultural,entertainment,cultural_entertainment,top_residential_infrastructure,square,population,housing_fund_area,line_count,author_count,author_more,floor_position,house_category,population_density
Homeapp,16,19,2,76.0,38000000,Хорошево-Мневники,Шелепихинская набережная,Шелепиха,Сердце Столицы,Московское центральное кольцо,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1315,553,1,0,5,1.0
РГ-Девелопмент,22,25,1,27.6,9781440,Щукино,Берзарина,Октябрьское поле,Октябрьское поле,Таганско-Краснопресненская линия,СЗАО,7,10,27,63,41,2,51,6,18.0,7.69,111203,2062.0,991,58,1,0,5,14460.73
NF Group - ex-Knight Frank Russia,6,53,2,120.8,72000000,Раменки,Мосфильмовская,Парк Победы,Дом на Мосфильмовской,Солнцевская линия,ЗАО,4,26,64,10,76,11,10,3,90.0,18.54,141610,3511.2,1062,318,1,0,6,7638.08
Славянский Двор Остоженка,7,11,4,250.0,250000000,Арбат,Композиторская,Смоленская,Дом на Композиторской,Арбатско-Покровская линия,ЦАО,6,0,0,100,0,0,0,100,1.0,2.11,36125,731.0,1065,31,1,0,4,17120.85
NF Group - ex-Knight Frank Russia,9,57,3,158.0,168185380,Хорошевский,Чапаевский переулок,Сокол,Триумф-Палас,Замоскворецкая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1297,318,1,0,6,1.0
VESPER,-1,-1,-1,202.0,117594750,Пресненский,Костикова,Улица 1905 года,Lucky,Таганско-Краснопресненская линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,991,58,1,2,1,10945.47
Ashtons International Realty,25,26,4,131.13,65000000,Нагорный,Электролитный проезд,Нагорная,TopHills,Серпуховско-Тимирязевская линия,ЮАО,7,12,18,70,33,0,67,0,24.0,5.42,81731,1551.4,807,10,1,0,5,15079.52
Capital Group,37,38,2,124.8,37840261,Ростокино,проспект Мира,Ростокино,Триколор,Московское центральное кольцо,СВАО,4,50,39,11,34,44,0,22,113.0,3.54,40082,732.8,1315,117,1,0,5,11322.6
MR Group,22,41,3,97.8,62419916,Раменки,1-й Сетуньский проезд,Лужники,Hide,Московское центральное кольцо,ЗАО,4,26,64,10,76,11,10,3,90.0,18.54,141610,3511.2,1315,278,1,0,5,7638.08
ПИК,31,32,1,33.4,12134220,Бутырский,к1/2,Бутырская,Руставели 14 ЖК,Люблинско-Дмитровская линия,СВАО,7,8,29,63,37,0,50,13,14.0,5.04,71458,1236.2,569,1263,1,0,5,14178.17
HQ Estate,3,14,2,61.2,12000000,не указано,не указано,Щербинка,не указано,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,4,1,0,4,1.0
Homeapp,26,51,3,70.5,30300000,Раменки,Мичуринский проспект,Раменки,не указано,Солнцевская линия,ЗАО,4,26,64,10,76,11,10,3,90.0,18.54,141610,3511.2,1062,553,1,0,6,7638.08
Century 21 Street Realty,15,57,4,222.3,110000000,Хорошевский,Чапаевский переулок,Аэропорт,Триумф-Палас,Замоскворецкая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1297,104,1,0,6,1.0
Быстров Недвижимость,9,17,2,57.7,12900000,Люблино,проезд Кирова,Депо,не указано,None,ЮВАО,6,29,67,4,60,0,36,4,96.0,17.41,172054,2739.7,-1,1,0,0,5,9882.48
МИЦ,2,9,2,46.8,16400307,Хорошево-Мневники,3-я Хорошевская,Карамышевская,Вереск,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,194,1,0,3,1.0
SILVER CITY GROUP,3,5,3,54.3,18600000,Басманный,Гороховский переулок,Красносельская,не указано,Сокольническая линия,ЦАО,6,6,22,72,1,0,8,91,9.0,8.37,110694,1991.8,1452,6,1,0,2,13225.09
ПИК,29,32,1,35.2,8215750,Северное Медведково,к1.3,Медведково,Полар ЖК,Калужско-Рижская линия,СВАО,8,4,28,68,27,0,73,0,8.0,5.66,127819,1764.0,977,1263,1,0,5,22582.86
ПИК,4,28,1,40.5,11165850,Щукино,Волоколамское шоссе,Стрешнево,Волоколамское 24,Московское центральное кольцо,СЗАО,7,10,27,63,41,2,51,6,18.0,7.69,111203,2062.0,1315,1263,1,0,5,14460.73
Новые Ватутинки,7,9,2,61.0,12809756,не указано,не указано,Ольховая,не указано,Сокольническая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1452,48,1,0,3,1.0
Времена года,9,14,5,202.0,178000000,Хамовники,Усачева,Спортивная,Садовые кварталы,Сокольническая линия,ЦАО,4,6,44,50,0,6,2,92,13.0,10.08,109218,2559.6,1452,31,1,0,4,10835.12
Владис,3,22,1,39.0,15200000,Марфино,Академика Королева,Бутырская,Дом Достижение,Люблинско-Дмитровская линия,СВАО,4,33,67,0,83,6,11,0,103.0,2.97,35387,711.1,569,246,1,0,5,11914.81
PROНЕДВИЖИМОСТЬ,14,17,1,39.0,11500000,Зюзино,Балаклавский проспект,Чертановская,не указано,Серпуховско-Тимирязевская линия,ЮЗАО,4,11,73,16,67,0,33,0,51.0,5.45,126815,2132.3,807,26,1,0,5,23268.81
Apple Real Estate,3,7,2,53.2,28000000,Пресненский,Большая Садовая,Маяковская,не указано,Замоскворецкая линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,1297,135,1,0,3,10945.47
BLACK MOSCOW CITY,35,49,3,190.0,79999999,Пресненский,1-й Красногвардейский проезд,Деловой центр,не указано,Большая кольцевая линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,1525,9,1,0,5,10945.47
Этажи Москва,28,34,1,25.49,7700000,Преображенское,Открытое шоссе,Бульвар Рокоссовского,Лосиноостровский парк,Сокольническая линия,ВАО,7,21,38,41,33,13,16,38,77.0,5.61,91503,1453.2,1452,257,1,0,5,16310.69
Intermark Real Estate - ранее Savills - городская недвижимость,5,9,5,206.0,229343700,Хамовники,7-й Ростовский переулок,Парк Культуры,не указано,None,ЦАО,4,6,44,50,0,6,2,92,13.0,10.08,109218,2559.6,-1,225,1,0,3,10835.12
ПИК,26,33,1,32.67,10653687,Метрогородок,к1/1,Бульвар Рокоссовского,Лосиноостровский Парк ЖК,Московское центральное кольцо,ВАО,4,0,100,0,100,0,0,0,31.0,27.57,39024,575.7,1315,1263,1,0,5,1415.45
МИЦ,-1,-1,-1,202.0,5855074,не указано,не указано,Филатов Луг,не указано,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,194,1,2,1,1.0
Century 21 Premium Property,33,36,2,75.0,47000000,Хорошево-Мневники,Шелепихинская набережная,Шелепиха,Сердце Столицы,Большая кольцевая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1525,108,1,0,5,1.0
Diamant Estate,10,14,5,240.0,300000000,Раменки,Мосфильмовская,Парк Победы,не указано,Арбатско-Покровская линия,ЗАО,4,26,64,10,76,11,10,3,90.0,18.54,141610,3511.2,1065,6,1,0,4,7638.08
PEOPLE,30,37,5,158.0,70490000,Хорошево-Мневники,Шелепихинская набережная,Шелепиха,Сердце Столицы,Большая кольцевая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1525,193,1,0,5,1.0
BARNES International Realty,5,12,5,170.8,225000000,Пресненский,Спиридоновка,Тверская,не указано,Замоскворецкая линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,1297,143,1,0,4,10945.47
МСК Недвижимость,6,7,-1,24.6,7500000,Коптево,Клары Цеткин,Войковская,не указано,Замоскворецкая линия,САО,4,5,95,0,45,45,5,5,44.0,5.38,102076,2449.8,1297,133,1,0,3,18973.23
ZIP Realty,2,10,1,20.1,6500000,Нижегородский,Подъемная,Калитники,не указано,None,ЮВАО,7,26,53,21,32,0,68,0,88.0,7.57,45294,722.3,-1,50,1,0,3,5983.36
PEOPLE,15,26,5,209.0,99902000,Кунцево,Рублевское шоссе,Молодежная,Vander Park,None,ЗАО,5,17,49,34,56,6,35,3,65.0,16.56,152364,2587.4,-1,193,1,0,5,9200.72
ПИК,2,34,4,73.61,18961936,Очаково-Матвеевское,к1.2,Аминьевская,Матвеевский Парк ЖК,Большая кольцевая линия,ЗАО,7,40,60,0,100,0,0,0,111.0,17.54,130742,2255.1,1525,1263,1,0,5,7453.93
Ашихмин и партнёры,1,2,5,343.6,377960000,Тверской,Петровка,Чеховская,не указано,Серпуховско-Тимирязевская линия,ЦАО,5,0,15,85,0,0,0,100,2.0,7.27,77864,1253.3,807,6,1,1,1,10710.32
Владис,16,16,2,50.8,12200000,Дмитровский,Лобненская,Марк,не указано,None,САО,8,21,79,0,44,3,50,3,84.0,7.29,93468,1364.5,-1,246,1,2,4,12821.4
ПРОГРЕСС,10,18,2,37.79,11527555,Щукино,Большой Волоколамский проезд,Стрешнево,Комплекс апартаментов B’aires,Московское центральное кольцо,СЗАО,7,10,27,63,41,2,51,6,18.0,7.69,111203,2062.0,1315,11,1,0,5,14460.73
Homeapp,3,6,3,79.9,38700000,Беговой,3-я Ямского Поля,Белорусская,Art Residence,Замоскворецкая линия,САО,5,9,36,55,0,0,23,77,22.0,5.56,42781,791.1,1297,553,1,0,3,7694.42
Владис,6,13,1,21.5,6300000,не указано,не указано,Коммунарка,не указано,Сокольническая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1452,246,1,0,4,1.0
ID 47839191,12,12,1,35.1,14300000,Пресненский,Шелепихинская набережная,Шелепиха,не указано,Большая кольцевая линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,1525,2,0,2,4,10945.47
ГОРОБМЕН,23,23,5,250.0,146999999,Филевский парк,Кастанаевская,Филевский парк,Изумруд,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,37,1,2,5,1.0
FS PROPERTY,10,17,4,203.5,130000000,Раменки,Мосфильмовская,Ломоносовский проспект,Воробьевы Горы,Солнцевская линия,ЗАО,4,26,64,10,76,11,10,3,90.0,18.54,141610,3511.2,1062,40,1,0,5,7638.08
ХОРЕКА ИНВЕСТ,11,22,1,17.9,5890000,Тропарево-Никулино,Ленинский проспект,Тропарево,не указано,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,17,1,0,5,1.0
Flatforma,5,9,2,43.6,12300000,Отрадное,Северный бульвар,Отрадное,не указано,Серпуховско-Тимирязевская линия,СВАО,6,10,33,57,21,0,79,0,21.0,10.18,185488,3191.6,807,3,1,0,3,18220.82
.Sense,2,13,1,34.3,18978086,Даниловский,Подольское шоссе,Тульская,Logos,Серпуховско-Тимирязевская линия,ЮАО,9,60,24,16,11,4,18,67,115.0,12.6,94316,2847.4,807,7,1,0,4,7485.4
ANT Development,-1,-1,-1,202.0,177159229,Дорогомилово,не указано,Парк Победы,Виктори Парк Резиденсез ЖК,Солнцевская линия,ЗАО,6,12,15,73,0,0,27,73,19.0,7.95,76093,1906.2,1062,72,1,2,1,9571.45
Etagi Prime,4,16,4,130.0,41950000,Хорошево-Мневники,3-я Хорошевская,не указано,Хорошевский,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,12,1,0,4,1.0
Premium Realty,1,7,5,230.0,179950000,Басманный,Подсосенский переулок,Курская,Резиденция Чистые Пруды,Кольцевая линия,ЦАО,6,6,22,72,1,0,8,91,9.0,8.37,110694,1991.8,597,45,1,1,3,13225.09
Виктория Гаврилова,6,7,5,113.0,32000000,Южнопортовый,Новоостаповская,Дубровка,не указано,Московское центральное кольцо,ЮВАО,8,35,41,24,15,3,56,26,100.0,4.53,74729,1449.0,1315,2,0,0,3,16496.47
Группа Эталон,14,20,4,117.7,69888187,Замоскворечье,не указано,Павелецкая,Воксхолл ЖК,Кольцевая линия,ЦАО,6,10,17,73,0,0,0,100,12.0,4.32,59105,1072.3,597,102,1,0,5,13681.71
Этажи Москва,21,24,1,20.15,8400000,Нижегородский,Новохохловская,Новохохловская,Новохохловская 15,Московское центральное кольцо,ЮВАО,7,26,53,21,32,0,68,0,88.0,7.57,45294,722.3,1315,257,1,0,5,5983.36
Новые Ватутинки,13,15,2,53.2,10658088,не указано,не указано,Ольховая,не указано,Сокольническая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1452,48,1,0,4,1.0
ПИК,9,17,1,21.8,5891232,не указано,не указано,Бульвар Адмирала Ушакова,не указано,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,1263,1,0,5,1.0
Homeapp,1,10,3,67.2,32990000,Хамовники,Гагаринский переулок,Кропоткинская,не указано,Сокольническая линия,ЦАО,4,6,44,50,0,6,2,92,13.0,10.08,109218,2559.6,1452,553,1,1,3,10835.12
Владис,13,28,2,56.5,13690000,Щукино,Волоколамское шоссе,Стрешнево,Волоколамское 24,Московское центральное кольцо,СЗАО,7,10,27,63,41,2,51,6,18.0,7.69,111203,2062.0,1315,246,1,0,5,14460.73
Century 21 Street Realty,24,24,3,78.0,48100000,Хорошевский,Хорошевское шоссе,Полежаевская,Династия,Таганско-Краснопресненская линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,991,104,1,2,5,1.0
Whitewill,10,20,2,65.0,40990000,Пресненский,Мантулинская,Выставочная,City Park,Филёвская линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,896,332,1,0,5,10945.47
Bespoke Estate,11,21,5,144.2,89000000,Басманный,Земляной Вал,Чкаловская,Дом Chkalov,Люблинско-Дмитровская линия,ЦАО,6,6,22,72,1,0,8,91,9.0,8.37,110694,1991.8,569,64,1,0,5,13225.09
ANT Development,-1,-1,-1,202.0,66301670,Дорогомилово,не указано,Парк Победы,Виктори Парк Резиденсез ЖК,Арбатско-Покровская линия,ЗАО,6,12,15,73,0,0,27,73,19.0,7.95,76093,1906.2,1065,72,1,2,1,9571.45
На Петровке,27,29,4,125.0,53000000,Филевский парк,Береговой проезд,Шелепиха,Береговой,Большая кольцевая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1525,51,1,0,5,1.0
ПИК,4,22,1,28.33,10968469,Останкинский,не указано,Отрадное,Грин Парк ЖК,Серпуховско-Тимирязевская линия,СВАО,3,12,36,52,3,3,18,76,38.0,12.46,63514,1131.4,807,1263,1,0,5,5097.43
SHOW ME,8,10,4,225.0,140000000,Аэропорт,Ленинградский проспект,Динамо,ВТБ Арена парк,Замоскворецкая линия,САО,6,3,32,65,16,0,49,35,5.0,4.58,79486,1939.7,1297,33,1,0,3,17355.02
А101,9,30,2,40.5,10163386,Южное Бутово,к2.3,Бунинская аллея,Южные Сады ЖК,Бутовская линия Лёгкого метро,ЮЗАО,7,21,42,37,76,0,24,0,78.0,25.54,210676,4195.0,303,305,1,0,5,8248.86
PEOPLE,4,7,4,225.0,423903605,Раменки,Минская,Минская,Снегири Эко,Солнцевская линия,ЗАО,4,26,64,10,76,11,10,3,90.0,18.54,141610,3511.2,1062,193,1,0,3,7638.08
МСК Недвижимость,2,3,-1,14.2,3690000,Нижегородский,шоссе Фрезер,Нижегородская,не указано,Большая кольцевая линия,ЮВАО,7,26,53,21,32,0,68,0,88.0,7.57,45294,722.3,1525,133,1,0,2,5983.36
NF Group - ex-Knight Frank Russia,2,17,2,86.0,42000000,Раменки,Пудовкина,Киевская,Обыкновенное чудо,Арбатско-Покровская линия,ЗАО,4,26,64,10,76,11,10,3,90.0,18.54,141610,3511.2,1065,318,1,0,5,7638.08
Анатолий Фильков,27,44,1,41.5,22998000,Пресненский,Ходынская,Улица 1905 года,Пресня Сити,Таганско-Краснопресненская линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,991,1,0,0,5,10945.47
RED,5,12,1,47.0,10750000,не указано,не указано,Коммунарка,не указано,Сокольническая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1452,14,1,0,4,1.0
ID 25242895,11,14,1,60.2,35800000,Дорогомилово,Большая Дорогомиловская,Киевская,не указано,Арбатско-Покровская линия,ЗАО,6,12,15,73,0,0,27,73,19.0,7.95,76093,1906.2,1065,6,1,0,4,9571.45
ID 125124,6,22,2,58.7,14500000,Северный,Челобитьевское шоссе,Алтуфьево,не указано,Серпуховско-Тимирязевская линия,СВАО,2,100,0,0,100,0,0,0,118.0,10.29,38551,620.0,807,2,0,0,5,3746.45
Chase R.E.S.,3,7,5,252.0,336370760,Хамовники,Большой Левшинский переулок,Парк Культуры,Дворянское гнездо,None,ЦАО,4,6,44,50,0,6,2,92,13.0,10.08,109218,2559.6,-1,138,1,0,3,10835.12
TEKTA GROUP,7,20,1,36.9,19970280,Даниловский,проспект Лихачева,Технопарк,Квартал на набережной NOW,Замоскворецкая линия,ЮАО,9,60,24,16,11,4,18,67,115.0,12.6,94316,2847.4,1297,61,1,0,5,7485.4
Этажи Москва,16,17,5,115.0,19900000,Некрасовка,Маресьева,Некрасовка,не указано,Некрасовская линия,ЮВАО,7,67,33,0,100,0,0,0,116.0,5.58,71943,385.5,214,257,1,0,5,12893.01
MR Group,4,28,1,25.1,14618316,Даниловский,не указано,Серпуховская,Павелецкая Сити ЖК,Серпуховско-Тимирязевская линия,ЮАО,9,60,24,16,11,4,18,67,115.0,12.6,94316,2847.4,807,278,1,0,5,7485.4
Homeapp,1,5,1,32.0,12500000,Беговой,Ленинградский проспект,Динамо,не указано,Замоскворецкая линия,САО,5,9,36,55,0,0,23,77,22.0,5.56,42781,791.1,1297,553,1,1,2,7694.42
Д-Инвест,12,18,-1,24.2,8318637,Останкинский,не указано,Ботанический сад,Легендарный квартал ЖК,Калужско-Рижская линия,СВАО,3,12,36,52,3,3,18,76,38.0,12.46,63514,1131.4,977,10,1,0,5,5097.43
Capital Group,11,17,2,45.8,44884000,Дорогомилово,не указано,Киевская,Бадаевский ЖК,Арбатско-Покровская линия,ЗАО,6,12,15,73,0,0,27,73,19.0,7.95,76093,1906.2,1065,117,1,0,5,9571.45
ID 33191906,3,12,2,44.3,11400000,Теплый Стан,Островитянова,Коньково,не указано,Калужско-Рижская линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,977,1,0,0,4,1.0
Intermark Real Estate - ранее Savills - городская недвижимость,43,57,4,186.9,321081180,Хорошевский,Чапаевский переулок,Аэропорт,Триумф-Палас,Замоскворецкая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1297,225,1,0,6,1.0
THE MOSCOW CITY,33,85,2,81.6,44900000,Пресненский,1-й Красногвардейский проезд,Деловой центр,МФК ОКО,Солнцевская линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,1062,9,1,0,6,10945.47
не указано,4,4,3,123.0,39900000,Донской,Варшавское шоссе,Верхние котлы,Даниловская мануфактура,None,ЮАО,5,44,13,43,9,0,52,39,105.0,5.73,51894,1094.0,-1,202,1,2,2,9056.54
Владис,13,16,5,112.5,24500000,Митино,Пятницкое шоссе,Волоколамская,не указано,Арбатско-Покровская линия,СЗАО,2,17,44,39,54,0,46,0,64.0,12.67,194965,3658.1,1065,246,1,0,4,15387.92
ASTERUS,7,18,1,37.81,16730925,Покровское-Стрешнево,не указано,Спартак,Алиа ЖК,Таганско-Краснопресненская линия,СЗАО,5,29,54,17,71,8,21,0,93.0,12.9,59402,1006.7,991,48,1,0,5,4604.81
ПИК,26,26,1,25.42,7427724,Нижегородский,к3.1,Нижегородская,Перовское 2 ЖК,Большая кольцевая линия,ЮВАО,7,26,53,21,32,0,68,0,88.0,7.57,45294,722.3,1525,1263,1,2,5,5983.36
NF Group - ex-Knight Frank Russia,12,12,4,271.6,380240000,Тверской,2-я Брестская,Маяковская,Резиденция Тверская,Замоскворецкая линия,ЦАО,5,0,15,85,0,0,0,100,2.0,7.27,77864,1253.3,1297,318,1,2,4,10710.32
LaRichesse,5,6,3,111.0,65000000,Беговой,3-я Ямского Поля,Белорусская,Art Residence,Замоскворецкая линия,САО,5,9,36,55,0,0,23,77,22.0,5.56,42781,791.1,1297,11,1,0,3,7694.42
А101,9,15,1,20.5,7811840,не указано,не указано,Прокшино,не указано,Сокольническая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1452,305,1,0,4,1.0
Мангазея,10,21,2,74.0,29656240,Щукино,Щукинская,Стрешнево,Интонация,Московское центральное кольцо,СЗАО,7,10,27,63,41,2,51,6,18.0,7.69,111203,2062.0,1315,17,1,0,5,14460.73
Homeapp,2,20,5,189.0,72000000,Проспект Вернадского,Удальцова,Проспект Вернадского,не указано,Сокольническая линия,ЗАО,4,20,21,59,26,3,71,0,61.0,4.65,63659,1831.0,1452,553,1,0,5,13690.11
Apple Real Estate,2,7,2,65.0,29000000,Хамовники,Смоленский бульвар,Смоленская,не указано,Филёвская линия,ЦАО,4,6,44,50,0,6,2,92,13.0,10.08,109218,2559.6,896,135,1,0,3,10835.12
Татьяна Дорогова,13,16,1,38.0,10300000,Академический,Шверника,Крымская,не указано,Московское центральное кольцо,ЮЗАО,6,4,31,65,16,2,51,31,7.0,5.83,109387,2467.0,1315,1,0,0,4,18762.78
ИМПЕРИАЛ,2,5,1,13.7,6230000,Богородское,Ивантеевская,Бульвар Рокоссовского,не указано,Сокольническая линия,ВАО,6,7,88,5,91,0,9,0,47.0,10.24,109324,1744.1,1452,85,1,0,2,10676.17
NF Group - ex-Knight Frank Russia,4,6,3,173.9,239000000,Якиманка,Большая Полянка,Полянка,Cloud Nine,Серпуховско-Тимирязевская линия,ЦАО,4,5,67,28,0,0,11,89,33.0,4.8,27672,788.7,807,318,1,0,3,5765.0
ПИК,22,28,1,32.3,9176430,Гольяново,не указано,Черкизовская,Амурский парк ЖК,Сокольническая линия,ВАО,5,20,80,0,83,0,17,0,83.0,14.99,163009,3024.1,1452,1263,1,0,5,10874.52
Chase R.E.S.,21,28,2,72.0,18700000,Ховрино,Флотская,Речной вокзал,Апарт-комплекс Флотилия,Замоскворецкая линия,САО,6,9,91,0,60,0,40,0,57.0,5.73,89018,2450.2,1297,138,1,0,5,15535.43
St Michael,7,21,1,36.86,13339200,Хорошевский,Зорге,Зорге,Зорге 9,Московское центральное кольцо,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1315,16,1,0,5,1.0
ZAPAD REALTY - офис Маршала Жукова,17,19,3,110.0,57900000,Проспект Вернадского,Удальцова,Проспект Вернадского,не указано,Большая кольцевая линия,ЗАО,4,20,21,59,26,3,71,0,61.0,4.65,63659,1831.0,1525,44,1,0,5,13690.11
Инград,1,1,4,155.04,67353192,Даниловский,Восточная,Автозаводская,RiverSky,Московское центральное кольцо,ЮАО,9,60,24,16,11,4,18,67,115.0,12.6,94316,2847.4,1315,32,1,1,1,7485.4
Valartis Group,6,8,1,75.6,65016000,Арбат,Арбат,Арбатская,Turandot Residences,Арбатско-Покровская линия,ЦАО,6,0,0,100,0,0,0,100,1.0,2.11,36125,731.0,1065,50,1,0,3,17120.85
ID 84456266,4,16,1,40.0,21800000,Войковский,Старопетровский проезд,Войковская,не указано,Замоскворецкая линия,САО,5,38,31,31,50,0,50,0,101.0,6.61,70729,1531.0,1297,1,0,0,4,10700.3
Дмитрий Шеин,17,33,1,36.6,12300000,Очаково-Матвеевское,Озерная,Озёрная,Мичуринский парк,Солнцевская линия,ЗАО,7,40,60,0,100,0,0,0,111.0,17.54,130742,2255.1,1062,1,0,0,5,7453.93
Apple Real Estate,2,7,2,65.0,29000000,Хамовники,Смоленский бульвар,Смоленская,не указано,Арбатско-Покровская линия,ЦАО,4,6,44,50,0,6,2,92,13.0,10.08,109218,2559.6,1065,135,1,0,3,10835.12
ПИК,23,33,2,51.3,12643911,Очаково-Матвеевское,к1.1,Давыдково,Новое Очаково ЖК,Большая кольцевая линия,ЗАО,7,40,60,0,100,0,0,0,111.0,17.54,130742,2255.1,1525,1263,1,0,5,7453.93
ID 119392,3,3,1,37.4,7700000,не указано,не указано,не указано,не указано,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,1,0,2,2,1.0
Level Group,17,33,3,58.3,27364476,Хорошево-Мневники,Причальный проезд,Шелепиха,Level Причальный,Большая кольцевая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1525,232,1,0,5,1.0
Level Group,37,46,2,35.3,15631478,Очаково-Матвеевское,не указано,Мичуринский проспект,Левел Мичуринский ЖК,Большая кольцевая линия,ЗАО,7,40,60,0,100,0,0,0,111.0,17.54,130742,2255.1,1525,232,1,0,5,7453.93
ID 413522,20,21,3,80.7,61900000,Пресненский,Мантулинская,Деловой центр,City Park,Солнцевская линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,1062,34,1,0,5,10945.47
REALTY PRО,2,4,1,11.7,4190000,Сокольники,Стромынка,Сокольники,не указано,Сокольническая линия,ВАО,2,11,25,64,7,11,14,68,20.0,10.28,61487,1247.2,1452,17,1,0,2,5981.23
ФСК,3,8,1,37.6,19724960,Хорошевский,Зорге,Зорге,Рихард,Московское центральное кольцо,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1315,238,1,0,3,1.0
BARNES International Realty,4,11,4,202.0,290500000,Хамовники,Погодинская,Фрунзенская,GRAND DELUXE на Плющихе,Сокольническая линия,ЦАО,4,6,44,50,0,6,2,92,13.0,10.08,109218,2559.6,1452,143,1,0,4,10835.12
Александр Крючков,5,9,4,64.0,13800000,Северное Медведково,Широкая,Медведково,не указано,Калужско-Рижская линия,СВАО,8,4,28,68,27,0,73,0,8.0,5.66,127819,1764.0,977,4,1,0,3,22582.86
GloraX,6,21,2,75.3,35369999,Беговой,1-я Ямского Поля,Белорусская,Глоракс Премиум Белорусская,Кольцевая линия,САО,5,9,36,55,0,0,23,77,22.0,5.56,42781,791.1,597,32,1,0,5,7694.42
ПИК,2,33,1,34.2,11744280,Бутырский,к2.8,Бутырская,Руставели 14 ЖК,Люблинско-Дмитровская линия,СВАО,7,8,29,63,37,0,50,13,14.0,5.04,71458,1236.2,569,1263,1,0,5,14178.17
Estate time,14,31,2,116.0,53000000,Очаково-Матвеевское,Нежинская,Славянский бульвар,Кутузовская Ривьера,Арбатско-Покровская линия,ЗАО,7,40,60,0,100,0,0,0,111.0,17.54,130742,2255.1,1065,4,1,0,5,7453.93
ПИК,2,34,1,20.11,7605602,Очаково-Матвеевское,к1.3,Аминьевская,Матвеевский Парк ЖК,Большая кольцевая линия,ЗАО,7,40,60,0,100,0,0,0,111.0,17.54,130742,2255.1,1525,1263,1,0,5,7453.93
SKYEST,10,21,3,65.0,40900000,Пресненский,Мантулинская,Выставочная,City Park,Филёвская линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,896,25,1,0,5,10945.47
Александр Мызенков,14,14,5,370.0,230000000,Пресненский,Климашкина,Улица 1905 года,Климашкина 19,Таганско-Краснопресненская линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,991,1,0,2,4,10945.47
