author,floor,floors_count,rooms_count,total_meters,price,district,street,underground,residential_complex,line,area,eco_rating,insufficient_infrastructure,convenient_for_life,very_convenient_for_life,few_entertainment,cultural,entertainment,cultural_entertainment,top_residential_infrastructure,square,population,housing_fund_area,line_count,author_count,author_more,floor_position,house_category,population_density
Группа Родина,12,13,3,53.5,13842500,не указано,не указано,Ольховая,не указано,Сокольническая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1452,54,1,0,4,1.0
PEOPLE,4,23,2,51.0,27500000,Можайский,Гжатская,Давыдково,LIFE-Кутузовский,Большая кольцевая линия,ЗАО,4,25,75,0,95,0,5,0,91.0,10.73,138610,2655.9,1525,193,1,0,5,12917.99
ID 375788,5,12,5,148.0,59000000,Басманный,переулок Посланников,Бауманская,не указано,Арбатско-Покровская линия,ЦАО,6,6,22,72,1,0,8,91,9.0,8.37,110694,1991.8,1065,1,0,0,4,13225.09
Capital Group,44,58,3,144.0,39053782,Ростокино,проспект Мира,Ростокино,Триколор,Московское центральное кольцо,СВАО,4,50,39,11,34,44,0,22,113.0,3.54,40082,732.8,1315,117,1,0,6,11322.6
не указано,15,19,1,42.9,13892860,Богородское,3-я Гражданская,Бульвар Рокоссовского,SELF,Московское центральное кольцо,ВАО,6,7,88,5,91,0,9,0,47.0,10.24,109324,1744.1,1315,202,1,0,5,10676.17
ПЕРСПЕКТИВА24-ЮГО-ЗАПАД,7,14,2,55.0,18100000,Солнцево,Боровское шоссе,Говорово,Мещерский лес,Солнцевская линия,ЗАО,5,29,71,0,100,0,0,0,98.0,11.29,126456,2058.4,1062,79,1,0,4,11200.71
ID 75018243,4,7,2,56.0,10350000,не указано,не указано,Филатов Луг,не указано,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,2,0,0,3,1.0
ПИК,32,33,1,32.3,9499430,Гольяново,не указано,Черкизовская,Амурский парк ЖК,Сокольническая линия,ВАО,5,20,80,0,83,0,17,0,83.0,14.99,163009,3024.1,1452,1263,1,0,5,10874.52
Cristall Realty,12,28,1,20.0,8500000,Западное Дегунино,Пяловская,Селигерская,Ильменский 17,Люблинско-Дмитровская линия,САО,7,4,96,0,64,0,36,0,40.0,7.53,84163,1385.1,569,60,1,0,5,11177.02
ПИК,4,17,1,23.8,6790140,Текстильщики,Юго-Восточный ао,Текстильщики,Волжский Парк ЖК,Большая кольцевая линия,ЮВАО,6,14,49,37,65,9,9,17,53.0,5.92,105267,1638.7,1525,1263,1,0,5,17781.59
DOMILION,5,8,2,47.0,18800000,Раменки,Университетский проспект,Ломоносовский проспект,не указано,Солнцевская линия,ЗАО,4,26,64,10,76,11,10,3,90.0,18.54,141610,3511.2,1062,13,1,0,3,7638.08
BERI,9,12,2,39.2,13090000,Преображенское,2-я Пугачевская,Преображенская площадь,не указано,Сокольническая линия,ВАО,7,21,38,41,33,13,16,38,77.0,5.61,91503,1453.2,1452,31,1,0,4,16310.69
Prime Life Development,6,30,3,82.79,29636128,Нагатино-Садовники,Нагатинская,Нагатинская,1-й Нагатинский,Серпуховско-Тимирязевская линия,ЮАО,7,39,53,8,76,0,24,0,108.0,8.17,83496,960.4,807,16,1,0,5,10219.83
